INDEX HOPPING_ID_2 HOPPING_ID_1 R_2 R_1 MEAN_R MEAN_I STD
392 2 2 8 7 0.00668255 -0.00000000 0.00621836
393 2 2 8 8 4.18788327 -0.00000000 1.91264339
394 2 2 8 9 -0.05003367 -0.00000000 0.03397165
395 2 2 8 10 0.00895573 0.00000000 0.00948825
396 2 2 8 11 -0.04211387 -0.00000000 0.03231576
397 2 2 8 12 -0.11886727 -0.00000000 0.09990952
398 2 2 8 13 0.13412447 0.00000000 0.13542741
399 2 2 8 14 0.02661926 0.00000000 0.02278058
400 2 2 8 15 0.03778787 -0.00000000 0.01970600
401 2 2 9 0 -0.02456660 0.00000000 0.01900329
402 2 2 9 1 0.41892349 0.00000000 0.42893639
403 2 2 9 2 0.08737880 -0.00000000 0.09112645
404 2 2 9 3 0.05559924 0.00000000 0.05269055
405 2 2 9 4 -0.02367488 -0.00000000 0.02087522
406 2 2 9 5 0.00966329 0.00000000 0.02422825
407 2 2 9 6 0.32859334 -0.00000000 0.32940087
408 2 2 9 7 0.22694936 0.00000000 0.22790360
409 2 2 9 8 -0.05003367 -0.00000000 0.03397165
410 2 2 9 9 0.47101454 0.00000000 0.41036193
411 2 2 9 10 -0.14128071 -0.00000000 0.14220841
412 2 2 9 11 0.14930733 0.00000000 0.14673757
413 2 2 9 12 -0.00851254 0.00000000 0.00973909
414 2 2 9 13 -0.28190646 -0.00000000 0.26321893
415 2 2 9 14 -0.03827247 0.00000000 0.04149967
416 2 2 9 15 0.29389649 0.00000000 0.28854874
417 2 2 10 0 0.02198643 -0.00000000 0.01858759
418 2 2 10 1 -0.13800757 -0.00000000 0.18680571
419 2 2 10 2 0.04485229 -0.00000000 0.05115129
420 2 2 10 3 -0.02836820 0.00000000 0.06162327
421 2 2 10 4 0.03029126 -0.00000000 0.02865288
422 2 2 10 5 -0.01713751 -0.00000000 0.02114191
423 2 2 10 6 -0.04451097 0.00000000 0.19269562
424 2 2 10 7 -0.07017718 -0.00000000 0.08610579
425 2 2 10 8 0.00895573 0.00000000 0.00948825
426 2 2 10 9 -0.14128071 -0.00000000 0.14220841
427 2 2 10 10 2.04793315 -0.00000000 0.05430265
428 2 2 10 11 -0.02904273 -0.00000000 0.09909915
429 2 2 10 12 0.01440633 -0.00000000 0.01468146
430 2 2 10 13 0.13867282 0.00000000 0.08995859
431 2 2 10 14 -0.18446648 -0.00000000 0.16607001
432 2 2 10 15 -0.13269396 -0.00000000 0.17156252
433 2 2 11 0 0.02422316 -0.00000000 0.03158479
434 2 2 11 1 0.29979232 0.00000000 0.18336918
435 2 2 11 2 0.14711599 0.00000000 0.06078701
436 2 2 11 3 0.08779568 0.00000000 0.04410362
437 2 2 11 4 0.04578536 -0.00000000 0.04198253
438 2 2 11 5 0.02921807 0.00000000 0.02888342
439 2 2 11 6 -0.07377355 -0.00000000 0.09728613
440 2 2 11 7 0.07628453 0.00000000 0.07504688
441 2 2 11 8 -0.04211387 -0.00000000 0.03231576
442 2 2 11 9 0.14930733 0.00000000 0.14673757
443 2 2 11 10 -0.02904273 -0.00000000 0.09909915
444 2 2 11 11 2.07408318 0.00000000 0.21629973
445 2 2 11 12 0.01652652 -0.00000000 0.01544688
446 2 2 11 13 -0.10336456 -0.00000000 0.16328524
447 2 2 11 14 0.21877749 -0.00000000 0.19283283
448 2 2 11 15 0.08132861 -0.00000000 0.06175889
449 2 2 12 0 -0.43162034 -0.00000000 0.29023741
450 2 2 12 1 0.03671372 0.00000000 0.02806798
451 2 2 12 2 -0.00105401 -0.00000000 0.01387934
452 2 2 12 3 -0.00490524 0.00000000 0.02079658
453 2 2 12 4 0.13366292 -0.00000000 0.12545043
454 2 2 12 5 0.02042550 -0.00000000 0.03399680
455 2 2 12 6 -0.05233781 -0.00000000 0.03756847
456 2 2 12 7 -0.00387389 -0.00000000 0.00417862
457 2 2 12 8 -0.14200438 -0.00000000 0.15322158
458 2 2 12 9 -0.00851254 0.00000000 0.00973909
459 2 2 12 10 0.01440633 -0.00000000 0.01468146
460 2 2 12 11 0.01652652 -0.00000000 0.01544688
461 2 2 12 12 2.55566125 -0.00000000 1.37215649
462 2 2 12 13 -0.00709219 -0.00000000 0.02131014
463 2 2 12 14 0.00470703 0.00000000 0.00661522
464 2 2 12 15 0.05807374 0.00000000 0.02488332
465 2 2 13 0 -0.01748401 -0.00000000 0.01631640
466 2 2 13 1 -0.62258651 -0.00000000 0.46632259
467 2 2 13 2 0.04402897 -0.00000000 0.06363244
468 2 2 13 3 0.03857640 -0.00000000 0.01168028
469 2 2 13 4 0.08901384 -0.00000000 0.08523050
470 2 2 13 5 -0.00376117 -0.00000000 0.00443999
471 2 2 13 6 -0.16873949 -0.00000000 0.19811639
472 2 2 13 7 -0.23736063 -0.00000000 0.25685734
473 2 2 13 8 0.13412447 0.00000000 0.13542741
474 2 2 13 9 -0.35752946 -0.00000000 0.38728272
475 2 2 13 10 0.13867282 0.00000000 0.08995859
476 2 2 13 11 -0.10336456 -0.00000000 0.16328524
