INDEX BOND_ID_2 BOND_ID_1 R_2 R_1 MEAN_R MEAN_I STD
367 2 2 6 14 -0.27985050 0.00000000 0.27419711
368 2 2 6 15 -0.02201552 0.00000000 0.04017885
369 2 2 7 0 0.05200755 0.00000000 0.02634343
370 2 2 7 1 0.10140862 0.00000000 0.05861594
371 2 2 7 2 0.08501995 0.00000000 0.04845951
372 2 2 7 3 0.07484706 -0.00000000 0.02954958
373 2 2 7 4 0.07107265 0.00000000 0.05885750
374 2 2 7 5 0.01842653 -0.00000000 0.01262923
375 2 2 7 6 0.07869446 -0.00000000 0.10145056
376 2 2 7 7 1.88432137 -0.00000000 0.19518664
377 2 2 7 8 0.23500561 0.00000000 0.27518909
378 2 2 7 9 0.16275871 -0.00000000 0.19690558
379 2 2 7 10 0.07837207 -0.00000000 0.10598435
380 2 2 7 11 0.19226032 -0.00000000 0.21598567
381 2 2 7 12 0.05843721 -0.00000000 0.06445163
382 2 2 7 13 -0.10531065 0.00000000 0.10516064
383 2 2 7 14 -0.05734049 -0.00000000 0.04010278
384 2 2 7 15 0.01529630 -0.00000000 0.05245656
385 2 2 8 0 0.24127843 -0.00000000 0.32425722
386 2 2 8 1 0.28595458 0.00000000 0.37625493
387 2 2 8 2 0.16137563 -0.00000000 0.29646729
388 2 2 8 3 -0.01461335 0.00000000 0.14642763
389 2 2 8 4 0.18265952 0.00000000 0.23876535
390 2 2 8 5 -0.09560183 -0.00000000 0.08409563
391 2 2 8 6 0.33061515 -0.00000000 0.35161475
392 2 2 8 7 0.23500561 0.00000000 0.27518909
393 2 2 8 8 4.20504695 -0.00000000 2.39547624
394 2 2 8 9 1.33761351 0.00000000 1.28180952
395 2 2 8 10 -0.78011677 0.00000000 0.84150235
396 2 2 8 11 0.63773059 -0.00000000 0.60973361
397 2 2 8 12 -0.37018225 0.00000000 0.37708208
398 2 2 8 13 -1.32854989 0.00000000 1.32909568
399 2 2 8 14 -0.23403044 0.00000000 0.26834515
400 2 2 8 15 0.05170109 0.00000000 0.06788314
401 2 2 9 0 0.06573341 0.00000000 0.24611876
402 2 2 9 1 0.21379235 0.00000000 0.36025837
403 2 2 9 2 -0.11003740 0.00000000 0.13083873
404 2 2 9 3 0.02233418 0.00000000 0.32893038
405 2 2 9 4 -0.24062286 -0.00000000 0.18707814
406 2 2 9 5 0.22034006 0.00000000 0.24163661
407 2 2 9 6 0.13787860 0.00000000 0.15487894
408 2 2 9 7 0.16275871 -0.00000000 0.19690558
409 2 2 9 8 1.35256129 0.00000000 1.27938192
410 2 2 9 9 6.04029460 -0.00000000 3.67228144
411 2 2 9 10 0.40512171 -0.00000000 0.32290183
412 2 2 9 11 -0.60165024 0.00000000 0.71012997
413 2 2 9 12 -0.62204778 0.00000000 0.63551676
414 2 2 9 13 -2.30008029 -0.00000000 2.29889367
415 2 2 9 14 0.20633515 0.00000000 0.14806886
416 2 2 9 15 -0.12494082 -0.00000000 0.23443409
417 2 2 10 0 -0.50321414 0.00000000 0.37448084
418 2 2 10 1 0.24199324 0.00000000 0.35861368
419 2 2 10 2 -0.55989325 0.00000000 0.39579543
420 2 2 10 3 -0.20809682 0.00000000 0.05590196
421 2 2 10 4 0.05189685 0.00000000 0.09076261
422 2 2 10 5 -0.17513370 -0.00000000 0.16372192
423 2 2 10 6 -0.59227273 0.00000000 0.57574529
424 2 2 10 7 0.07837207 -0.00000000 0.10598435
425 2 2 10 8 -0.78011677 0.00000000 0.84150235
426 2 2 10 9 0.43602364 -0.00000000 0.36943771
427 2 2 10 10 3.41490184 -0.00000000 1.35936987
428 2 2 10 11 -0.24688670 0.00000000 0.29213123
429 2 2 10 12 0.22131854 -0.00000000 0.21183958
430 2 2 10 13 -0.11757767 -0.00000000 0.11712620
431 2 2 10 14 0.38023055 -0.00000000 0.35295303
432 2 2 10 15 0.37540397 -0.00000000 0.30306618
433 2 2 11 0 0.12491501 -0.00000000 0.15839901
434 2 2 11 1 -0.11913429 0.00000000 0.05374247
435 2 2 11 2 0.00486259 -0.00000000 0.15033556
436 2 2 11 3 -0.14256933 -0.00000000 0.03373968
