INDEX BOND_ID_2 BOND_ID_1 K_2 K_1 MEAN_R MEAN_I STD
270 2 2 0 13 -1.07606959 -5.56792753 3.74329629
271 2 2 0 14 10.13990193 5.24624683 8.66620831
272 2 2 0 15 -4.36028336 -0.29887518 7.55814042
273 2 2 1 0 -4.27999264 0.15257182 7.42233588
274 2 2 1 1 4.82852769 3.52357280 12.08329165
275 2 2 1 2 -16.35540273 5.99662267 14.93168423
276 2 2 1 3 -1.05608569 -1.89502296 7.59031205
277 2 2 1 4 -3.55152738 -1.17057752 5.07637892
278 2 2 1 5 9.53207883 -2.82466281 12.93868396
279 2 2 1 6 -2.83109272 5.66681145 6.55128336
280 2 2 1 7 -4.96275323 -2.69259088 5.18706613
281 2 2 1 8 -1.10538454 -3.04768841 2.78183182
282 2 2 1 9 -5.49854157 -6.24624053 6.74918046
283 2 2 1 10 5.87631389 -10.89527874 10.89777605
284 2 2 1 11 -0.20799812 4.10833348 11.64987040
285 2 2 1 12 -2.10768231 -9.16023818 5.45617128
286 2 2 1 13 4.84148309 10.12952801 6.90824385
287 2 2 1 14 -7.74505339 -12.37637595 16.95334740
288 2 2 1 15 49.78923767 -0.33425945 16.56957100
289 2 2 2 0 10.26137867 -5.51066217 8.70686933
290 2 2 2 1 -16.47683277 6.11431223 14.88680625
291 2 2 2 2 9.28159994 -13.14824110 21.24915241
292 2 2 2 3 2.21988048 8.73955566 8.78114431
293 2 2 2 4 -0.46089124 -2.41680100 5.11909935
294 2 2 2 5 -5.59279492 10.34013361 10.97200629
295 2 2 2 6 -8.38686912 -4.78056166 9.85431721
296 2 2 2 7 -1.09887755 -5.50843484 5.63428932
297 2 2 2 8 -1.63712285 -2.60705595 3.29248881
298 2 2 2 9 7.59101033 -2.17536063 9.23276608
299 2 2 2 10 2.04696024 8.60270051 14.74708236
300 2 2 2 11 -9.43370742 -8.65106616 9.66685396
301 2 2 2 12 7.80435246 4.95798820 6.19944049
302 2 2 2 13 -7.06944592 -8.84527782 13.18029845
303 2 2 2 14 48.30459109 -0.36179982 21.97984152
304 2 2 2 15 -7.56126522 12.08228593 16.66020945
305 2 2 3 0 -1.36694062 5.78470432 3.81107010
306 2 2 3 1 -1.42228363 -1.31579240 7.23525709
307 2 2 3 2 2.04203502 8.75527032 8.68256363
308 2 2 3 3 -9.88596040 1.93308973 5.60648154
309 2 2 3 4 1.06624400 0.75613102 4.02199551
310 2 2 3 5 -4.10571866 -0.18456863 3.85215531
311 2 2 3 6 1.84322801 -5.22738670 5.30865813
312 2 2 3 7 3.10476633 0.09454963 7.55406192
313 2 2 3 8 -1.66578160 -2.29485491 2.65526320
314 2 2 3 9 -5.26378904 -0.36821396 8.99247577
315 2 2 3 10 -4.59242366 -12.84107162 8.96009713
316 2 2 3 11 5.41215075 0.99925819 3.82513508
317 2 2 3 12 -4.10362790 -4.97048632 8.47824614
318 2 2 3 13 40.44773670 -0.13845480 11.67809935
319 2 2 3 14 -6.88933554 8.66451354 12.97318334
320 2 2 3 15 5.05813461 -10.62133812 6.96804062
321 2 2 4 0 3.63101628 7.68058085 4.96771426
322 2 2 4 1 -3.93961369 -1.18075840 5.29149225
323 2 2 4 2 -0.73375814 -2.31572814 5.09184166
324 2 2 4 3 1.22589141 0.72442287 4.09994568
325 2 2 4 4 -2.67818948 3.90327143 4.36273686
326 2 2 4 5 -4.35229402 -2.71325313 4.60032683
327 2 2 4 6 0.41860359 -0.45059482 4.72473257
328 2 2 4 7 -3.80070947 -1.11840069 3.23743584
329 2 2 4 8 1.98635257 -2.85755921 5.05115338
330 2 2 4 9 0.43183677 -9.30715654 5.01146040
331 2 2 4 10 7.28768120 6.87435805 7.08927662
332 2 2 4 11 -4.97684380 -5.00483343 8.92809698
333 2 2 4 12 36.69758281 -0.00000000 8.90667328
334 2 2 4 13 -3.97036838 4.97360018 8.45823120
335 2 2 4 14 8.07721936 -5.60479486 6.28693154
336 2 2 4 15 -2.42673590 9.23412507 5.61683322
337 2 2 5 0 -4.31719263 1.97899499 3.83029664
338 2 2 5 1 9.03112081 -2.63009629 12.85499117
339 2 2 5 2 -5.26070424 10.29469690 10.62745768
340 2 2 5 3 -3.43719976 -0.18456863 3.60457556
341 2 2 5 4 -4.19264660 -2.68154498 4.49218626
342 2 2 5 5 -4.25532897 -5.19600454 4.36806191
343 2 2 5 6 0.91155923 3.21155044 6.17719807
344 2 2 5 7 0.22452349 -1.44012814 5.81545273
345 2 2 5 8 -3.26398978 -4.56180445 4.57782525
346 2 2 5 9 2.69617086 7.25538914 6.64852735
347 2 2 5 10 -5.85662286 -4.85221173 9.00489018
348 2 2 5 11 42.00419937 -0.13845480 14.64794601
349 2 2 5 12 -4.84358428 5.00794730 8.91055116
350 2 2 5 13 5.70292580 -1.70125127 3.86356942
351 2 2 5 14 -9.71308084 8.52924687 9.67648316
352 2 2 5 15 -0.14664963 -3.65537569 11.33130014
353 2 2 6 0 -4.61233019 -3.41216106 5.17833296
354 2 2 6 1 -2.59345643 5.69375866 6.31977949
355 2 2 6 2 -7.66326948 -4.78056166 9.47977614
356 2 2 6 3 2.17531870 -5.18194999 5.15176314
357 2 2 6 4 0.14573669 -0.55166767 4.69678834
358 2 2 6 5 0.73371377 3.19583577 6.16936480
359 2 2 6 6 -2.21710279 -5.30276177 3.22671282
360 2 2 6 7 -1.15201492 -2.31674070 4.43349173
361 2 2 6 8 2.42038317 -0.89088950 3.11072379
362 2 2 6 9 0.07274618 -10.31914669 10.60911074
363 2 2 6 10 40.07154810 -0.36179982 13.29064440
364 2 2 6 11 -5.67651248 4.67144746 8.79702376
365 2 2 6 12 7.56054810 -7.52116472 7.19121677
366 2 2 6 13 -4.87179708 12.71925233 9.03101273
367 2 2 6 14 2.32530079 -8.32435996 14.57630906
368 2 2 6 15 5.69570903 10.64318510 10.94257282
369 2 2 7 0 -1.96311809 4.36406711 3.89909914
370 2 2 7 1 -4.68584364 -2.69259088 5.05059941
371 2 2 7 2 -0.86124126 -5.53538205 5.42422028
372 2 2 7 3 2.60380831 -0.10001689 7.48274867
373 2 2 7 4 -4.18879577 -1.10821981 3.47122753
374 2 2 7 5 -0.14167444 -2.01935871 5.47146012
375 2 2 7 6 -1.27344496 -2.43443026 4.29255286
376 2 2 7 7 0.22903345 -2.61333920 5.07932202
377 2 2 7 8 0.59276405 -1.59584069 2.98767202
378 2 2 7 9 39.51846821 -0.33425945 12.09284046
379 2 2 7 10 0.25653435 10.02505667 10.43223924
380 2 2 7 11 2.91282237 -7.74719926 6.70297795
381 2 2 7 12 0.11278318 9.38104343 5.26395776
382 2 2 7 13 -5.20244055 0.82117175 8.72327338
383 2 2 7 14 7.41040547 1.92326699 9.27073746
384 2 2 7 15 -6.20053466 6.53701559 6.86173579
385 2 2 8 0 -2.00360727 0.00000000 2.93032954
386 2 2 8 1 -1.04141329 -3.15866997 2.75653966
387 2 2 8 2 -2.28743027 -2.87147129 3.28266334
388 2 2 8 3 -1.99605131 -2.16335248 2.68547096
389 2 2 8 4 1.67150685 -3.56603792 4.70185749
390 2 2 8 5 -3.55486081 -4.77858124 4.44395170
391 2 2 8 6 2.54185991 -0.62647416 3.05892336
392 2 2 8 7 0.67305477 -1.44953733 2.93101628
393 2 2 8 8 27.61809203 0.00000000 2.84842409
394 2 2 8 9 0.67305477 1.44953733 2.93101628
395 2 2 8 10 2.54185991 0.62647416 3.05892336
396 2 2 8 11 -3.55486081 4.77858124 4.44395170
397 2 2 8 12 1.67150685 3.56603792 4.70185749
398 2 2 8 13 -1.99605131 2.16335248 2.68547096
399 2 2 8 14 -2.28743027 2.87147129 3.28266334
